                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1842,                 3.8941,                 1.7503,                0.39625,                0.28969,                0.24946,                0.08972,                 2.2374,                 3.2128,                 1.8773,              0.0033257,              0.0033257,              0.0033257
                      2,                 2.1839,                 2.7788,                 1.6926,                0.33827,                0.28592,                 0.2285,                0.08269,                 2.2701,                 2.4834,                 1.7905,              0.0065931,              0.0065931,              0.0065931
                      3,                 2.3032,                 2.5748,                 1.8246,                0.25502,                0.27679,                0.17859,                0.05603,                 2.4386,                 2.7269,                 1.9635,              0.0097945,              0.0097945,              0.0097945
                      4,                 2.4001,                 2.5939,                 1.9337,                0.25157,                0.25607,                0.14349,                0.04847,                 2.4469,                 2.5672,                 2.0798,               0.009703,               0.009703,               0.009703
                      5,                 2.3466,                  2.519,                 1.9232,                0.29426,                0.27942,                 0.1962,                0.07465,                 2.3246,                   2.41,                 1.9287,               0.009604,               0.009604,               0.009604
                      6,                 2.2686,                 2.3625,                 1.8479,                0.21121,                0.22684,                0.14974,                 0.0571,                 2.3516,                 2.6391,                 1.9147,               0.009505,               0.009505,               0.009505
                      7,                 2.2061,                 2.3154,                  1.816,                0.40418,                 0.4069,                0.33818,                0.12512,                 2.2382,                 2.1322,                 1.9222,               0.009406,               0.009406,               0.009406
                      8,                  2.185,                 2.2238,                 1.8014,                0.36459,                0.41777,                0.29682,                 0.1171,                 2.1616,                 2.0695,                 1.8245,               0.009307,               0.009307,               0.009307
                      9,                 2.1309,                 2.1539,                 1.7709,                0.38332,                0.39178,                0.32118,                0.12903,                 2.1588,                 2.0566,                 1.8359,               0.009208,               0.009208,               0.009208
                     10,                 2.1057,                 2.0896,                 1.7407,                0.42362,                0.39367,                0.36057,                 0.1469,                 2.0957,                 1.9656,                 1.8224,               0.009109,               0.009109,               0.009109
                     11,                 2.0786,                 2.0332,                 1.7052,                0.48978,                0.44503,                0.42998,                 0.1774,                 2.0213,                 1.7982,                 1.6911,                0.00901,                0.00901,                0.00901
                     12,                 2.0432,                  1.975,                 1.6873,                0.48734,                 0.4655,                0.42933,                0.17502,                 2.0456,                 1.8223,                 1.7598,               0.008911,               0.008911,               0.008911
                     13,                 2.0552,                 1.9884,                 1.7026,                 0.4982,                0.46078,                0.43169,                0.17628,                 2.0806,                 1.8958,                 1.8062,               0.008812,               0.008812,               0.008812
                     14,                 2.0078,                 1.9319,                 1.6797,                0.52287,                0.48527,                0.47224,                0.20074,                  1.954,                 1.7755,                 1.6668,               0.008713,               0.008713,               0.008713
                     15,                 2.0132,                 1.8849,                 1.6672,                0.50491,                0.46606,                0.44051,                0.19004,                 1.9838,                 1.7748,                 1.6964,               0.008614,               0.008614,               0.008614
                     16,                 2.0047,                 1.8778,                  1.655,                 0.4815,                0.51392,                0.47748,                0.20397,                 1.9899,                 1.6697,                 1.6828,               0.008515,               0.008515,               0.008515
                     17,                 2.0101,                 1.8545,                 1.6574,                0.56414,                0.49197,                 0.4923,                 0.2115,                 1.9821,                   1.67,                 1.6576,               0.008416,               0.008416,               0.008416
                     18,                 1.9749,                 1.8114,                 1.6181,                0.58634,                0.54253,                0.54956,                 0.2357,                 1.9625,                 1.5911,                 1.6217,               0.008317,               0.008317,               0.008317
                     19,                 1.9692,                 1.7913,                 1.6199,                0.63872,                0.50798,                0.54221,                0.23762,                 1.9802,                  1.604,                 1.6659,               0.008218,               0.008218,               0.008218
                     20,                 1.9539,                 1.7518,                 1.5851,                0.60525,                 0.5536,                0.55908,                0.24438,                 1.9398,                 1.5556,                 1.5997,               0.008119,               0.008119,               0.008119
                     21,                 1.9359,                 1.7509,                 1.5996,                0.57755,                0.54017,                 0.5275,                0.23202,                 1.9391,                 1.5926,                 1.6239,                0.00802,                0.00802,                0.00802
                     22,                 1.9339,                 1.7196,                  1.586,                 0.6265,                0.52161,                0.57418,                 0.2487,                 1.9688,                 1.5326,                 1.6288,               0.007921,               0.007921,               0.007921
                     23,                 1.9043,                 1.6954,                 1.5597,                0.59965,                 0.5482,                0.55517,                0.25147,                 1.9235,                  1.522,                 1.6075,               0.007822,               0.007822,               0.007822
                     24,                 1.9184,                 1.6872,                 1.5701,                0.63309,                0.53403,                0.57819,                0.26113,                 1.9176,                  1.515,                 1.5884,               0.007723,               0.007723,               0.007723
                     25,                 1.8978,                 1.6561,                 1.5557,                0.61564,                 0.5794,                0.57907,                0.26311,                 1.8906,                 1.5137,                 1.5559,               0.007624,               0.007624,               0.007624
                     26,                 1.8966,                 1.6456,                 1.5514,                0.63959,                0.57231,                0.58798,                0.25952,                 1.9597,                 1.4669,                 1.6047,               0.007525,               0.007525,               0.007525
                     27,                 1.8769,                 1.6037,                 1.5192,                0.65733,                0.57136,                0.61051,                0.27538,                 1.9029,                 1.4467,                 1.5539,               0.007426,               0.007426,               0.007426
                     28,                 1.8885,                 1.5854,                 1.5315,                 0.6596,                0.60257,                0.62856,                0.28087,                 1.8941,                 1.4158,                 1.5417,               0.007327,               0.007327,               0.007327
                     29,                 1.8706,                 1.5781,                 1.5156,                0.65996,                 0.5775,                0.61666,                0.27885,                 1.8867,                 1.4222,                 1.5382,               0.007228,               0.007228,               0.007228
                     30,                 1.8615,                 1.5664,                 1.5028,                0.64445,                0.59924,                0.63164,                 0.2927,                 1.8584,                 1.3797,                 1.5383,               0.007129,               0.007129,               0.007129
                     31,                 1.8581,                 1.5757,                 1.5041,                0.65383,                0.57216,                0.62148,                 0.2899,                 1.8508,                 1.4243,                 1.5272,                0.00703,                0.00703,                0.00703
                     32,                 1.8499,                 1.5409,                  1.503,                0.67529,                0.60681,                0.65126,                0.30025,                 1.8753,                 1.3401,                 1.5377,               0.006931,               0.006931,               0.006931
                     33,                  1.841,                 1.5213,                 1.4935,                0.68648,                0.62335,                0.67328,                0.30683,                 1.8579,                 1.3409,                 1.5219,               0.006832,               0.006832,               0.006832
                     34,                 1.8448,                 1.5382,                 1.4968,                0.70318,                0.61389,                0.67195,                0.31608,                 1.8403,                 1.3188,                 1.4943,               0.006733,               0.006733,               0.006733
                     35,                 1.8265,                 1.4957,                 1.4747,                0.71566,                0.60426,                0.67422,                0.32085,                 1.8432,                 1.3166,                 1.4974,               0.006634,               0.006634,               0.006634
                     36,                 1.8058,                 1.4823,                  1.462,                0.70208,                0.60587,                0.66517,                0.31198,                 1.8536,                 1.3173,                 1.5085,               0.006535,               0.006535,               0.006535
                     37,                 1.8203,                 1.4693,                 1.4732,                0.72339,                0.61957,                0.69098,                0.32705,                   1.84,                 1.2626,                 1.4935,               0.006436,               0.006436,               0.006436
                     38,                 1.8192,                 1.4643,                 1.4699,                0.74237,                0.64225,                0.70646,                0.32637,                 1.8329,                 1.2738,                 1.4877,               0.006337,               0.006337,               0.006337
                     39,                 1.8315,                 1.4441,                 1.4731,                0.71272,                0.63469,                 0.6913,                0.32415,                 1.8395,                 1.2764,                 1.5031,               0.006238,               0.006238,               0.006238
                     40,                 1.7924,                 1.4441,                 1.4537,                0.69909,                0.63131,                0.69057,                  0.333,                 1.8131,                 1.2477,                 1.4524,               0.006139,               0.006139,               0.006139
                     41,                 1.7843,                 1.4284,                 1.4471,                0.71302,                0.62713,                 0.6939,                0.33128,                 1.8237,                 1.2358,                 1.4818,                0.00604,                0.00604,                0.00604
                     42,                 1.7869,                 1.4104,                 1.4411,                 0.7299,                0.63941,                0.70739,                0.33494,                 1.8202,                 1.2257,                 1.4632,               0.005941,               0.005941,               0.005941
                     43,                 1.7843,                 1.4052,                 1.4369,                0.73206,                0.63658,                0.71153,                0.33973,                 1.8198,                 1.2243,                   1.47,               0.005842,               0.005842,               0.005842
                     44,                 1.7813,                  1.418,                 1.4321,                0.73291,                0.65548,                0.71202,                0.34226,                 1.8173,                 1.2038,                 1.4639,               0.005743,               0.005743,               0.005743
                     45,                 1.7695,                 1.3748,                 1.4231,                0.73627,                0.63894,                0.71956,                0.34593,                 1.8027,                 1.2058,                 1.4575,               0.005644,               0.005644,               0.005644
                     46,                 1.7638,                 1.3886,                 1.4192,                0.73813,                0.66337,                0.72416,                 0.3454,                 1.8075,                 1.2214,                 1.4498,               0.005545,               0.005545,               0.005545
                     47,                 1.7498,                 1.3585,                 1.4124,                0.73423,                0.66493,                0.73015,                0.34825,                 1.8022,                 1.1927,                 1.4543,               0.005446,               0.005446,               0.005446
                     48,                 1.7331,                  1.331,                 1.4003,                 0.7415,                0.66695,                0.73838,                 0.3548,                 1.7913,                 1.1831,                 1.4328,               0.005347,               0.005347,               0.005347
                     49,                  1.736,                 1.3384,                    1.4,                0.75819,                0.65496,                0.73571,                0.35239,                 1.8095,                 1.1701,                 1.4319,               0.005248,               0.005248,               0.005248
                     50,                 1.7392,                 1.3229,                 1.4008,                0.75933,                0.66824,                0.74195,                 0.3613,                 1.7718,                 1.1607,                 1.4326,               0.005149,               0.005149,               0.005149
